RUC,RAZON_SOCIAL,UBIGEO,DIRECCION,ES_ANEXO,DISTRITO,TIPO_PERSONA
20610098089,COMERCIAL ILLARI E.I.R.L.,040129,E 2 ASOC MULTICENTRO LA VERAC OTR.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20610137114,DOMINIO DE TRANSPORTE INTERNACIONAL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040126,B 12 TEXAO URB.,0,YANAHUARA,JURIDICA
20610166769,CONSORCIO CAFAGIS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040101,CAL. SAN JOSE 322 D-4,0,AREQUIPA (CERCADO),JURIDICA
20610167269,QUADRADO INGENIERIA Y CONSTRUCCION SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040102,AV. CHILINA A 12 PAMPAS DE POLANCO P.J.,0,ALTO SELVA ALEGRE,JURIDICA
20610171045,NIOMA DISTRIBUCIONES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040103,---- SEC VI N 6 C.H. DEAN VALDIVIA ----,0,CAYMA,JURIDICA
20610172084,CONSORCIO COMERCIAL,040104,JR. 28 DE JULIO 500 ALTO LIBERTAD ----,0,CERRO COLORADO,JURIDICA
20610173862,CONSORCIO COMERCIAL,040104,JR. 28 DE JULIO 500 ALTO LIBERTAD ----,0,CERRO COLORADO,JURIDICA
20610174796,DISTRIBUIDORA COMERCIAL ANCO E.I.R.L.,040112,U 5 SEÑOR DE LOS MILAGROS A.H.,0,PAUCARPATA,JURIDICA
20610193171,COMERCIAL ADISAN S.A.C.,040129,AV. DANIEL ALCIDEZ CARRION 20 207 PAMPILLA URB.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20610201793,CENTRO REUMATOLOGICO AREQUIPA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040103,AV. BOLOGNESI 907B 504 EDIFICIO SANTA CRISTINA OTR.,0,CAYMA,JURIDICA
20610211942,CORPORACION DE TRANSPORTES CIELO ANDINO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040101,CAL. SAN JOSE 322 D-4,0,AREQUIPA (CERCADO),JURIDICA
20610220470,COMERCIAL SUR PERUANO S.A.,040104,AV. JIRON 9 C 21 AA HH UPIS EL SALVADOR P.J.,0,CERRO COLORADO,JURIDICA
20610220534,SOL NACIENTE PROCESS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040101,CAL. CARLOS LLOSA 108,0,AREQUIPA (CERCADO),JURIDICA
20610223053,SOCIEDAD AGRÍCOLA COMERCIAL ALTO LIMARI S.A.C.,040103,105 LOS OLIVOS URB.,0,CAYMA,JURIDICA
20610254765,VAMALU LOGISTICA COMERCIAL E.I.R.L.,040101,OTR. X C 4 ENTEL PERU URB.,0,AREQUIPA (CERCADO),JURIDICA
20610269266,DISTRIBUIDORA BIOPACK AQP E.I.R.L.,040101,CAL. PIEROLA 511,0,AREQUIPA (CERCADO),JURIDICA
20610301127,DISTRIBUIDORA TEMEFE E.I.R.L.,040110,CAL. TENIENTE RODRIGUEZ 117,0,MIRAFLORES,JURIDICA
20610305106,T & H DISTRIBUIDORA E.I.R.L.,040101,CAL. CALLE MÁLAGA GRENET - UMA J-16 401 MAGISTERIAL URB.,0,AREQUIPA (CERCADO),JURIDICA
20610317023,INVERSIONES PEDAGOGICAS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040112,---- PROL JOHN F. KENNEDY B 1 CESAR VALLEJO P.J.,0,PAUCARPATA,JURIDICA
20610316523,DISTRIBUIDORA CASTAÑOS E.I.R.L.,040101,AV. METROPOLITANA TORRE A-801 S/N,0,AREQUIPA (CERCADO),JURIDICA
20610323589,CORPORACION COMERCIAL CALI S.A.C.,040101,CAL. SAN JOSE 103 A 103,0,AREQUIPA (CERCADO),JURIDICA
20610333665,DISTRIBUIDORA MABECH E.I.R.L.,040129,B 4 LOS BALCONES DE AREQUIPA URB.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20610334831,DISTRIBUIDORA DE CARNES ROJAS Y DERIVADOS E.I.R.L.,040122,CAL. LOPEZ ALBUJAR 103 04 DE OCTUBRE URB.,0,SOCABAYA,JURIDICA
20610339787,EMPRESA DE TRANSPORTE Y SERVICIOS GENERALES EDUARDO & SANTOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD L,040103,F 16 PROYECTO ALTO CAYMA IV OTR.,0,CAYMA,JURIDICA
20610340751,SERVICIOS EMPRESARIALES C & C SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040101,CAL. SAN JOSE 209 208 CERCADO URB.,0,AREQUIPA (CERCADO),JURIDICA
20610341676,DISTRIBUIDORA & REPRESENTACION MERLIM E.I.R.L.,040129,AV. VIDAURRAZAGA PUESTO16-17 S/N MEGACENTRO COMERCIAL MI M ----,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20610357891,DISTRIBUIDORA RAMCEZZ EIRL,040112,AV. SALAVERRY 502 15 DE AGOSTO URB.,0,PAUCARPATA,JURIDICA
20610361774,DISTRIBUIDORA RANDA S.A.C.,040112,AV. UNION 100B KENNEDY D5 FND.,0,PAUCARPATA,JURIDICA
20610384561,COMERCIAL LISAGA E.I.R.L.,040101,JR. LAS PAMPAS DE SAN CAMILO 19,0,AREQUIPA (CERCADO),JURIDICA
20610394648,DISTRIBUIDORA IMPORTADORA VISION 20/20 E.I.R.L.,040104,CAL. MICAELA BASTIDAS 102 TUPAC AMARU ET.1 URB.,0,CERRO COLORADO,JURIDICA
20610418008,COMERCIAL MARROTAPIZ E.I.R.L.,040109,MLC. ZOLEZZI 321 SAN LORENZO URB.,0,MARIANO MELGAR,JURIDICA
20610446818,REPRESENTACIONES Y SERVICIOS MISTI SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA- REPRESERMI S.R.L.,040109,A' 1 FUERTE CENEPA A.H.,0,MARIANO MELGAR,JURIDICA
20610454799,AVEN Y G SERVICIOS GENERALES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040110,MLC. LAS NUBES D 12 VILLA ESPERANZA OTR.,0,MIRAFLORES,JURIDICA
20610469486,LUXOR LENS MULTISERVICIOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040101,CAL. EL PERAL 117 A CERCADO URB.,0,AREQUIPA (CERCADO),JURIDICA
20610472339,DISTRIBUIDORA FERRETERA CJK E.I.R.L.,040109,H 5 NUEVO MILENIO APV.,0,MARIANO MELGAR,JURIDICA
20610473700,DISTRIBUIDORA DE ALIMENTOS PINTO S.A.C.,040129,OTR. SIMON BOLIVAR ZN A 47 4 SIMON BOLIVAR ZN A A.H.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20610512349,DISTRIBUIDORA CRIGEM E.I.R.L.,040104,---- -- A 4 PARQUE INDUSTRIAL PORVE A.V.,0,CERRO COLORADO,JURIDICA
20610543716,DISTRIBUIDORA & COMERCIALIZADORA Y.J. EN SEGURIDAD INDUSTRIAL E.I.R.L.,040101,AV. VIRGEN DEL PILAR 70 C5 CENTRO COMERCIAL DON MANU OTR.,0,AREQUIPA (CERCADO),JURIDICA
20610551352,DISTRIBUIDORA E IMPORTADORA KAMI S.A.C.,040102,A 12 ARTESANOS DEL MISTI A.H.,0,ALTO SELVA ALEGRE,JURIDICA
